entry_date,entry_idx,entry,exit_date,exit_idx,exit,ret,lev_ret,reason
2025-01-29 05:00:00,142894,102021.46021199999,2025-01-29 06:00:00,142898,102282.4524,0.002558208708811495,0.12791043544057473,TP
2025-02-03 07:00:00,143382,93929.83221000001,2025-02-03 07:45:00,143385,94594.875192,0.007080210475764024,0.3540105237882012,TP
2025-02-03 16:00:00,143418,98861.7684,2025-02-03 19:15:00,143431,99966.12922799999,0.011170757370348535,0.5585378685174267,TP
2025-02-04 15:45:00,143513,99062.8086,2025-02-04 19:15:00,143527,99983.982798,0.009298890380945583,0.4649445190472791,TP
2025-02-06 00:15:00,143643,96751.49643,2025-02-06 02:00:00,143650,97179.121938,0.004419833530010419,0.22099167650052096,TP
2025-02-07 11:30:00,143784,97660.87827,2025-02-07 12:45:00,143789,97989.70993412756,0.003367076663169554,0.1683538331584777,TP
2025-02-10 06:15:00,144051,96855.10714800001,2025-02-10 07:45:00,144057,97301.9565,0.004613585851669953,0.23067929258349767,TP
2025-02-13 16:45:00,144381,95524.6011,2025-02-13 19:00:00,144390,95983.202802,0.004800875342257775,0.24004376711288875,TP
2025-02-19 09:30:00,144928,95807.83773599999,2025-02-19 10:00:00,144930,95956.58747999999,0.0015525842928412906,0.07762921464206453,TP
2025-02-20 14:15:00,145043,97752.316554,2025-02-20 14:30:00,145044,97815.869262,0.0006501401730452165,0.032507008652260826,TP
2025-02-21 20:45:00,145165,95376.92157,2025-02-21 20:45:00,145165,95338.77843,-0.000399920015996802,-0.0199960007998401,SL
2025-02-27 20:30:00,145740,82939.594602,2025-02-27 20:45:00,145741,83428.062276,0.005889438890363478,0.2944719445181739,TP
2025-02-28 16:15:00,145819,83618.350326,2025-02-28 16:30:00,145820,83635.033662,0.0001995176409838166,0.00997588204919083,TP
2025-03-01 14:15:00,145907,84652.867188,2025-03-01 16:15:00,145915,84968.45029200001,0.003727967102391783,0.18639835511958916,TP
2025-03-01 21:15:00,145935,85365.059598,2025-03-01 21:30:00,145936,85580.192616,0.002520153081519473,0.12600765407597364,TP
2025-03-02 00:30:00,145948,85984.073376,2025-03-02 02:00:00,145954,86372.210988,0.004514064020934643,0.22570320104673214,TP
